aggregate_trade_id,price,quantity,first_trade_id,last_trade_id,buyer_is_maker,best_price_match,hour,minute,seconds
54391760,0.3147,0.134,71005641,71005641,0,1,11,42,59
54391761,0.3147,0.09,71005642,71005642,0,1,11,42,59
54391762,0.3147,1.272,71005643,71005643,0,1,11,42,59
54391763,0.3147,0.573,71005644,71005645,1,1,11,43,23
54391764,0.3147,0.12,71005646,71005646,1,1,11,43,23
54391765,0.3147,0.08,71005647,71005647,1,1,11,43,23
54391766,0.3147,0.588,71005648,71005648,0,1,11,43,43
54391767,0.3147,0.014,71005649,71005649,1,1,11,44,30
54391768,0.3147,0.009,71005650,71005650,1,1,11,44,39
54391769,0.3147,0.037,71005651,71005651,1,1,11,44,47
54391770,0.3147,0.009,71005652,71005652,1,1,11,44,57
54391771,0.3147,0.037,71005653,71005653,1,1,11,45,6
54391772,0.3147,0.1,71005654,71005654,1,1,11,45,14
54391773,0.3147,0.011,71005655,71005655,1,1,11,45,15
54391774,0.3147,0.1,71005656,71005656,1,1,11,45,16
54391775,0.3147,0.011,71005657,71005657,1,1,11,45,19
54391776,0.3147,0.015,71005658,71005658,1,1,11,45,58
54391777,0.3147,1.207,71005659,71005660,1,1,11,46,38
54391778,0.3147,0.68,71005661,71005661,0,1,11,47,29
54391779,0.3147,0.357,71005662,71005662,0,1,11,47,29
54391780,0.3148,5.364,71005663,71005670,0,1,11,49,9
54391781,0.3149,0.004,71005671,71005671,0,1,11,49,33
54391782,0.3149,0.031,71005672,71005672,0,1,11,51,42
54391783,0.3149,0.478,71005673,71005673,0,1,11,51,46
54391784,0.3149,0.134,71005674,71005674,0,1,11,51,46
54391785,0.3149,0.022,71005675,71005675,0,1,11,51,46
54391786,0.3149,0.544,71005676,71005676,0,1,11,51,46
54391787,0.3149,0.978,71005677,71005678,0,1,11,51,46
54391788,0.3149,0.734,71005679,71005679,0,1,11,51,46
54391789,0.3149,0.244,71005680,71005680,0,1,11,51,46
54391790,0.3149,0.907,71005681,71005681,0,1,11,51,50
54391791,0.3149,1.61,71005682,71005683,0,1,11,51,50
54391792,0.3149,0.022,71005684,71005684,0,1,11,51,50
54391793,0.3149,1.032,71005685,71005686,0,1,11,51,50
54391794,0.315,0.015,71005687,71005687,0,1,11,53,20
54391795,0.315,0.314,71005688,71005688,0,1,11,53,40
54391796,0.315,3.189,71005689,71005690,0,1,11,53,58
54391797,0.315,0.573,71005691,71005691,0,1,11,54,25
54391798,0.315,2.7,71005692,71005696,0,1,11,54,25
54391799,0.3151,0.08,71005697,71005697,0,1,11,54,25
54391800,0.3151,9.689,71005698,71005700,0,1,11,55,19
54391801,0.3151,0.084,71005701,71005702,0,1,11,55,19
54391802,0.3151,0.109,71005703,71005703,1,1,11,55,31
54391803,0.3152,0.005,71005704,71005704,0,1,11,55,45
54391804,0.3151,0.099,71005705,71005705,1,1,11,57,27
54391805,0.3151,0.09,71005706,71005706,0,1,11,57,44
54391806,0.3151,0.11,71005707,71005709,0,1,11,58,51
54391807,0.3152,0.02,71005710,71005710,0,1,11,59,51
54391808,0.3151,2.168,71005711,71005711,1,1,12,0,54
54391809,0.3151,0.381,71005712,71005712,1,1,12,0,54
54391810,0.3151,0.063,71005713,71005713,1,1,12,0,55
54391811,0.3151,0.063,71005714,71005714,1,1,12,0,55
54391812,0.3151,2.007,71005715,71005715,1,1,12,0,58
54391813,0.3151,0.357,71005716,71005716,1,1,12,0,58
54391814,0.3151,0.646,71005717,71005717,1,1,12,0,58
54391815,0.315,7.325,71005718,71005720,1,1,12,1,58
54391816,0.3149,7.644,71005721,71005727,1,1,12,2,15
54391817,0.3149,1.963,71005728,71005729,0,1,12,2,43
54391818,0.3148,0.016,71005730,71005730,1,1,12,3,8
54391819,0.3148,1.033,71005731,71005731,1,1,12,3,12
54391820,0.3148,0.573,71005732,71005732,1,1,12,3,12
54391821,0.3148,6.847,71005733,71005738,1,1,12,3,12
54391822,0.3147,0.174,71005739,71005739,1,1,12,3,12
54391823,0.3148,0.259,71005740,71005741,0,1,12,3,18
54391824,0.3148,0.134,71005742,71005742,0,1,12,4,18
54391825,0.3148,0.864,71005743,71005743,0,1,12,4,18
54391826,0.3148,0.024,71005744,71005744,0,1,12,4,18
54391827,0.3148,3.904,71005745,71005745,0,1,12,4,20
54391828,0.3149,5.051,71005746,71005748,0,1,12,5,1
54391829,0.3149,0.01,71005749,71005749,1,1,12,5,25
54391830,0.3149,0.009,71005750,71005750,1,1,12,5,29
54391831,0.315,0.907,71005751,71005751,0,1,12,5,40
54391832,0.315,0.978,71005752,71005752,0,1,12,5,40
54391833,0.315,0.573,71005753,71005753,0,1,12,6,3
54391834,0.315,0.573,71005754,71005754,0,1,12,6,3
54391835,0.315,3.556,71005755,71005756,0,1,12,6,3
54391836,0.315,5.16,71005757,71005758,1,1,12,7,44
54391837,0.3149,0.025,71005759,71005759,1,1,12,9,15
54391838,0.3149,0.026,71005760,71005760,1,1,12,9,15
54391839,0.3149,0.081,71005761,71005761,1,1,12,9,34
54391840,0.3148,0.231,71005762,71005763,1,1,12,10,21
54391841,0.3148,0.153,71005764,71005764,1,1,12,10,21
54391842,0.3148,0.563,71005765,71005765,1,1,12,10,21
54391843,0.3148,0.978,71005766,71005766,1,1,12,10,21
54391844,0.3148,0.025,71005767,71005767,1,1,12,10,21
54391845,0.3148,0.922,71005768,71005768,1,1,12,10,21
54391846,0.3148,2.233,71005769,71005769,1,1,12,10,21
54391847,0.3148,0.025,71005770,71005770,1,1,12,10,21
54391848,0.3148,2.196,71005771,71005773,1,1,12,10,21
54391849,0.3148,0.025,71005774,71005774,1,1,12,10,21
54391850,0.3148,0.978,71005775,71005775,1,1,12,10,21
54391851,0.3148,0.025,71005776,71005776,1,1,12,10,21
54391852,0.3148,0.907,71005777,71005777,1,1,12,10,22
54391853,0.3147,9.324,71005778,71005785,1,1,12,10,50
54391854,0.3147,5.0,71005786,71005786,0,1,12,14,33
54391855,0.3147,1.364,71005787,71005788,1,1,12,18,37
